Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Year
Food,17.7,Regular,0.042468413,Frozen Foods,162.421,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089,21
Drinks,7.27,Low Fat,0.071188446,Soft Drinks,111.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.518,26
Food,20.7,Regular,0.191008614,Dairy,92.8436,OUT010,1998,Medium,Tier 3,Grocery Store,189.0872,27
Food,16.1,Regular,0.159595473,Frozen Foods,32.8558,OUT013,1987,High,Tier 3,Supermarket Type1,339.558,38
Food,12.857645184136183,Regular,0.086905536,Fruits and Vegetables,78.8644,OUT019,1985,Small,Tier 1,Grocery Store,314.2576,40
Food,20.75,Low Fat,0.089186387,Breakfast,193.3478,OUT013,1987,High,Tier 3,Supermarket Type1,6006.1818,38
Non-Consumable,20.2,Non-Counsumable,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.1104,28
Non-Consumable,5.51,Non-Counsumable,0.034668802,Health and Hygiene,98.5726,OUT017,2007,Medium,Tier 2,Supermarket Type1,1761.7068,18
Food,20.2,Regular,0.057792343,Fruits and Vegetables,129.0678,OUT017,2007,Medium,Tier 2,Supermarket Type1,3560.6984,18
Food,14.7,Low Fat,0.072592873,Fruits and Vegetables,48.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.8612,16
Food,20.0,Regular,0.059889718,Baking Goods,168.5132,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.9244,21
Non-Consumable,17.1,Non-Counsumable,0.112402118,Household,112.986,OUT010,1998,Medium,Tier 3,Grocery Store,113.186,27
Non-Consumable,11.5,Non-Counsumable,0.029529474,Health and Hygiene,132.6626,OUT010,1998,Medium,Tier 3,Grocery Store,262.3252,27
Food,11.15,Regular,0.105736638,Baking Goods,104.4648,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,16
Food,16.2,Low Fat,0.044291251,Frozen Foods,43.3454,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.3448,26
Food,16.1,Low Fat,0.100388706,Fruits and Vegetables,76.0328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.5872,26
Food,12.857645184136183,Low Fat,0.070556945,Fruits and Vegetables,191.2162,OUT027,1985,Medium,Tier 3,Supermarket Type3,7504.2318,40
Food,15.0,Regular,0.054599767,Canned,59.4904,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,16
Food,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,OUT013,1987,High,Tier 3,Supermarket Type1,2885.5772,38
Food,5.985,Low Fat,0.057792343,Frozen Foods,125.2678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424,21
Food,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.7058,21
Non-Consumable,16.6,Non-Counsumable,0.016276741,Health and Hygiene,109.8596,OUT018,2009,Medium,Tier 3,Supermarket Type2,1617.894,16
Food,12.857645184136183,Low Fat,0.056656942,Baking Goods,106.2622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2328.9684,40
Food,11.5,Low Fat,0.072994847,Fruits and Vegetables,189.253,OUT049,1999,Medium,Tier 1,Supermarket Type1,1328.271,26
Non-Consumable,8.88,Non-Counsumable,0.165073642,Household,207.727,OUT010,1998,Medium,Tier 3,Grocery Store,209.727,27
Food,11.6,Low Fat,0.017744999,Canned,177.9686,OUT046,1997,Small,Tier 1,Supermarket Type1,1244.3802,28
Food,9.8,Low Fat,0.047453947,Baking Goods,101.7016,OUT017,2007,Medium,Tier 2,Supermarket Type1,1518.024,18
Food,9.395,Regular,0.171422166,Fruits and Vegetables,139.1838,OUT045,2002,Medium,Tier 2,Supermarket Type1,1685.8056,23
Food,12.3,Low Fat,0.021860985,Frozen Foods,193.3162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,28
Drinks,16.1,Low Fat,0.023577298,Soft Drinks,192.6846,OUT046,1997,Small,Tier 1,Supermarket Type1,2866.269,28
Food,19.1,Regular,0.043304681,Fruits and Vegetables,147.5418,OUT010,1998,Medium,Tier 3,Grocery Store,294.2836,27
Non-Consumable,8.43,Non-Counsumable,0.177971115,Household,174.0422,OUT049,1999,Medium,Tier 1,Supermarket Type1,2069.3064,26
Food,14.5,Regular,0.106894492,Breads,260.4594,OUT010,1998,Medium,Tier 3,Grocery Store,1046.6376,27
Drinks,8.27,Regular,0.127927931,Soft Drinks,184.8924,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.2176,28
Food,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.0734,OUT017,2007,Medium,Tier 2,Supermarket Type1,1930.1542,18
Food,20.0,Regular,0.051596927,Frozen Foods,128.0678,OUT045,2002,Medium,Tier 2,Supermarket Type1,1780.3492,23
Drinks,7.81,Low Fat,0.067592098,Soft Drinks,246.0486,OUT045,2002,Medium,Tier 2,Supermarket Type1,7086.1094,23
Food,12.857645184136183,Low Fat,0.054670967,Seafood,158.6604,OUT019,1985,Small,Tier 1,Grocery Store,316.9208,40
Non-Consumable,13.1,Non-Counsumable,0.012089479,Others,189.853,OUT013,1987,High,Tier 3,Supermarket Type1,3415.554,38
Food,15.2,Low Fat,0.021250528,Canned,216.5824,OUT045,2002,Medium,Tier 2,Supermarket Type1,5241.1776,23
Drinks,10.8,Low Fat,0.05843345,Hard Drinks,74.738,OUT046,1997,Small,Tier 1,Supermarket Type1,1025.332,28
Food,12.6,Low Fat,0.05606697,Seafood,50.7982,OUT035,2004,Small,Tier 2,Supermarket Type1,473.3838,21
Non-Consumable,12.15,Non-Counsumable,0.029569276,Household,115.015,OUT049,1999,Medium,Tier 1,Supermarket Type1,2912.875,26
Food,7.42,Low Fat,0.0204332,Snack Foods,248.9092,OUT045,2002,Medium,Tier 2,Supermarket Type1,5976.2208,23
Food,12.857645184136183,Regular,0.055213281,Baking Goods,172.4764,OUT019,1985,Small,Tier 1,Grocery Store,687.1056,40
Food,6.885,Regular,0.1408005,Canned,111.4228,OUT017,2007,Medium,Tier 2,Supermarket Type1,2984.1156,18
Non-Consumable,12.857645184136183,Non-Counsumable,0.047665717,Health and Hygiene,42.177,OUT027,1985,Medium,Tier 3,Supermarket Type3,1255.033,40
Non-Consumable,20.25,Non-Counsumable,0.059268885,Household,246.446,OUT017,2007,Medium,Tier 2,Supermarket Type1,3695.19,18
Food,15.3,Regular,0.084937098,Canned,214.0218,OUT045,2002,Medium,Tier 2,Supermarket Type1,1068.609,23
Food,9.21,Low Fat,0.008778413,Fruits and Vegetables,122.4414,OUT049,1999,Medium,Tier 1,Supermarket Type1,1583.9382,26
Food,15.6,Low Fat,0.057792343,Snack Foods,220.4798,OUT018,2009,Medium,Tier 3,Supermarket Type2,661.1394,16
Food,15.35,Low Fat,0.013834247,Frozen Foods,62.7168,OUT049,1999,Medium,Tier 1,Supermarket Type1,958.752,26
Food,12.15,Regular,0.132351411,Fruits and Vegetables,190.3872,OUT045,2002,Medium,Tier 2,Supermarket Type1,2836.308,23
Non-Consumable,12.857645184136183,Non-Counsumable,0.082955719,Household,164.0552,OUT027,1985,Medium,Tier 3,Supermarket Type3,5523.4768,40
Non-Consumable,11.395,Non-Counsumable,0.009893817,Health and Hygiene,50.3034,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068,26
Food,17.1,Low Fat,0.057792343,Fruits and Vegetables,111.9886,OUT046,1997,Small,Tier 1,Supermarket Type1,3002.0922,28
Food,18.85,Regular,0.067940657,Dairy,119.044,OUT035,2004,Small,Tier 2,Supermarket Type1,1198.44,21
Non-Consumable,19.6,Non-Counsumable,0.094161662,Household,251.9698,OUT046,1997,Small,Tier 1,Supermarket Type1,4566.0564,28
Food,11.3,Regular,0.067107448,Frozen Foods,258.1962,OUT017,2007,Medium,Tier 2,Supermarket Type1,4402.9354,18
Food,12.857645184136183,Low Fat,0.018321361,Frozen Foods,255.3698,OUT027,1985,Medium,Tier 3,Supermarket Type3,4819.7262,40
Food,5.785,Regular,0.038756864,Fruits and Vegetables,260.7252,OUT046,1997,Small,Tier 1,Supermarket Type1,6033.4796,28
Food,5.82,Regular,0.077254736,Fruits and Vegetables,257.633,OUT013,1987,High,Tier 3,Supermarket Type1,1537.998,38
Food,9.0,Low Fat,0.08630486,Snack Foods,168.0816,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,16
Food,12.857645184136183,Regular,0.128876537,Snack Foods,139.1838,OUT027,1985,Medium,Tier 3,Supermarket Type3,4916.933,40
Food,7.895,Regular,0.061163967,Breakfast,59.2588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232,21
Drinks,13.8,Low Fat,0.058220302,Dairy,247.4802,OUT045,2002,Medium,Tier 2,Supermarket Type1,1474.0812,23
Food,5.44,Low Fat,0.025519534,Dairy,238.7538,OUT049,1999,Medium,Tier 1,Supermarket Type1,3605.307,26
Food,16.7,Low Fat,0.070133177,Fruits and Vegetables,109.8912,OUT013,1987,High,Tier 3,Supermarket Type1,873.5296,38
Non-Consumable,19.85,Non-Counsumable,0.025947095,Household,46.9376,OUT013,1987,High,Tier 3,Supermarket Type1,575.2512,38
Food,10.395,Regular,0.091688111,Baking Goods,49.0008,OUT017,2007,Medium,Tier 2,Supermarket Type1,860.2136,18
Drinks,12.857645184136183,Low Fat,0.057792343,Soft Drinks,40.5138,OUT019,1985,Small,Tier 1,Grocery Store,40.6138,40
Food,12.857645184136183,Regular,0.165101585,Fruits and Vegetables,87.7882,OUT019,1985,Small,Tier 1,Grocery Store,515.3292,40
Non-Consumable,15.1,Non-Counsumable,0.059417055,Household,237.9248,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.2232,26
Food,20.5,Low Fat,0.036287517,Fruits and Vegetables,121.2756,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,16
Food,15.6,Low Fat,0.037764269,Snack Foods,124.9704,OUT045,2002,Medium,Tier 2,Supermarket Type1,2253.0672,23
Drinks,16.75,Regular,0.024848788,Soft Drinks,39.9822,OUT035,2004,Small,Tier 2,Supermarket Type1,746.3618,21
Food,10.85,Low Fat,0.162903525,Snack Foods,104.9622,OUT018,2009,Medium,Tier 3,Supermarket Type2,1482.0708,16
Food,16.2,Regular,0.016747538,Frozen Foods,98.6726,OUT017,2007,Medium,Tier 2,Supermarket Type1,1272.3438,18
Food,7.72,Regular,0.147904328,Fruits and Vegetables,116.6466,OUT010,1998,Medium,Tier 3,Grocery Store,117.8466,27
Food,12.857645184136183,Low Fat,0.079904068,Snack Foods,120.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,4434.228,40
Food,5.785,Regular,0.040325274,Snack Foods,180.466,OUT013,1987,High,Tier 3,Supermarket Type1,719.064,38
Food,12.857645184136183,Regular,0.06302467,Dairy,181.6318,OUT027,1985,Medium,Tier 3,Supermarket Type3,1263.0226,40
Food,15.2,Low Fat,0.021203509,Canned,216.3824,OUT035,2004,Small,Tier 2,Supermarket Type1,6114.7072,21
Food,13.1,Regular,0.098765906,Frozen Foods,196.3768,OUT035,2004,Small,Tier 2,Supermarket Type1,2167.8448,21
Food,6.32,Low Fat,0.012707362,Meat,41.0822,OUT013,1987,High,Tier 3,Supermarket Type1,942.7728,38
Food,17.85,Low Fat,0.04442649,Snack Foods,124.902,OUT013,1987,High,Tier 3,Supermarket Type1,1897.53,38
Food,12.857645184136183,Regular,0.121712459,Fruits and Vegetables,101.2016,OUT027,1985,Medium,Tier 3,Supermarket Type3,2631.2416,40
Drinks,13.85,Low Fat,0.030769458,Soft Drinks,141.7154,OUT013,1987,High,Tier 3,Supermarket Type1,2978.1234,38
Drinks,5.78,Low Fat,0.014614357,Soft Drinks,147.3102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2332.9632,16
Food,12.857645184136183,Regular,0.076868664,Frozen Foods,62.1194,OUT019,1985,Small,Tier 1,Grocery Store,123.8388,40
Food,6.885,Regular,0.140292495,Canned,108.5228,OUT045,2002,Medium,Tier 2,Supermarket Type1,1989.4104,23
Non-Consumable,8.42,Non-Counsumable,0.070555571,Household,216.0192,OUT035,2004,Small,Tier 2,Supermarket Type1,2372.9112,21
Drinks,7.63,Low Fat,0.061409711,Soft Drinks,94.6436,OUT017,2007,Medium,Tier 2,Supermarket Type1,1607.2412,18
Food,10.5,Regular,0.066555152,Starchy Foods,80.896,OUT017,2007,Medium,Tier 2,Supermarket Type1,958.752,18
Food,7.575,Low Fat,0.092711708,Dairy,197.7768,OUT010,1998,Medium,Tier 3,Grocery Store,197.0768,27
Food,13.5,Regular,0.017844609,Snack Foods,81.396,OUT013,1987,High,Tier 3,Supermarket Type1,1198.44,38
Food,12.15,Low Fat,0.025916883,Starchy Foods,120.244,OUT045,2002,Medium,Tier 2,Supermarket Type1,2277.036,23
Food,5.405,Regular,0.053611144,Canned,197.7742,OUT035,2004,Small,Tier 2,Supermarket Type1,796.2968,21
Non-Consumable,12.857645184136183,Non-Counsumable,0.207783483,Household,262.291,OUT019,1985,Small,Tier 1,Grocery Store,525.982,40
Food,7.435,Low Fat,0.122837694,Starchy Foods,208.7638,OUT046,1997,Small,Tier 1,Supermarket Type1,3105.957,28
Food,4.635,Low Fat,0.141174838,Breads,127.0994,OUT045,2002,Medium,Tier 2,Supermarket Type1,2826.9868,23
Food,8.96,Regular,0.069078149,Fruits and Vegetables,197.7768,OUT045,2002,Medium,Tier 2,Supermarket Type1,3153.2288,23
Non-Consumable,18.35,Non-Counsumable,0.089345074,Household,191.9504,OUT018,2009,Medium,Tier 3,Supermarket Type2,5369.0112,16
Food,11.65,Regular,0.058822142,Baking Goods,173.5422,OUT049,1999,Medium,Tier 1,Supermarket Type1,3448.844,26
Food,10.5,Low Fat,0.071368699,Frozen Foods,121.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1446.1176,26
Non-Consumable,7.39,Non-Counsumable,0.068055818,Health and Hygiene,140.7812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1567.2932,16
Food,12.857645184136183,Regular,0.150122794,Meat,154.5314,OUT027,1985,Medium,Tier 3,Supermarket Type3,1396.1826,40
Food,14.0,Low Fat,0.030094192,Fruits and Vegetables,215.7192,OUT046,1997,Small,Tier 1,Supermarket Type1,1078.596,28
Food,18.5,Regular,0.076097035,Dairy,145.8102,OUT010,1998,Medium,Tier 3,Grocery Store,291.6204,27
Food,13.65,Regular,0.025973384,Snack Foods,79.6302,OUT045,2002,Medium,Tier 2,Supermarket Type1,554.6114,23
Food,14.15,Low Fat,0.057792343,Snack Foods,244.1828,OUT045,2002,Medium,Tier 2,Supermarket Type1,731.0484,23
Food,10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,OUT017,2007,Medium,Tier 2,Supermarket Type1,4250.4672,18
Food,10.1,Low Fat,0.024262772,Canned,117.615,OUT018,2009,Medium,Tier 3,Supermarket Type2,1514.695,16
Drinks,13.85,Low Fat,0.034624104,Hard Drinks,115.0492,OUT049,1999,Medium,Tier 1,Supermarket Type1,4054.722,26
Food,13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,OUT045,2002,Medium,Tier 2,Supermarket Type1,3067.3406,23
Non-Consumable,18.75,Non-Counsumable,0.052121825,Health and Hygiene,104.828,OUT049,1999,Medium,Tier 1,Supermarket Type1,2343.616,26
Food,14.0,Regular,0.135662712,Frozen Foods,52.064,OUT013,1987,High,Tier 3,Supermarket Type1,852.224,38
Drinks,16.1,Low Fat,0.023613955,Soft Drinks,192.8846,OUT049,1999,Medium,Tier 1,Supermarket Type1,5350.3688,26
Food,12.857645184136183,Low Fat,0.082152451,Canned,179.9002,OUT027,1985,Medium,Tier 3,Supermarket Type3,4119.3046,40
Food,12.857645184136183,Regular,0.02363057,Snack Foods,141.7154,OUT019,1985,Small,Tier 1,Grocery Store,425.4462,40
Non-Consumable,12.35,Non-Counsumable,0.164274416,Household,119.8124,OUT045,2002,Medium,Tier 2,Supermarket Type1,2133.2232,23
Food,20.7,Regular,0.047587685,Dairy,215.0876,OUT045,2002,Medium,Tier 2,Supermarket Type1,5145.3024,23
Food,7.825,Low Fat,0.079952983,Meat,62.7826,OUT018,2009,Medium,Tier 3,Supermarket Type2,1162.4868,16
Non-Consumable,12.857645184136183,Non-Counsumable,0.024992442,Household,53.6614,OUT019,1985,Small,Tier 1,Grocery Store,165.7842,40
Food,12.1,Low Fat,0.115107028,Baking Goods,222.0114,OUT045,2002,Medium,Tier 2,Supermarket Type1,3547.3824,23
Non-Consumable,12.857645184136183,Non-Counsumable,0.008604657,Household,123.1756,OUT027,1985,Medium,Tier 3,Supermarket Type3,1211.756,40
Non-Consumable,14.65,Non-Counsumable,0.083528446,Household,162.4552,OUT045,2002,Medium,Tier 2,Supermarket Type1,2274.3728,23
Food,12.857645184136183,Regular,0.036731658,Meat,177.237,OUT027,1985,Medium,Tier 3,Supermarket Type3,4763.799,40
Food,20.75,Regular,0.129337594,Seafood,238.188,OUT046,1997,Small,Tier 1,Supermarket Type1,5033.448,28
Non-Consumable,11.15,Non-Counsumable,0.057792343,Others,65.0142,OUT049,1999,Medium,Tier 1,Supermarket Type1,1120.5414,26
Drinks,12.1,Low Fat,0.029827665,Soft Drinks,144.3444,OUT049,1999,Medium,Tier 1,Supermarket Type1,2612.5992,26
Food,11.6,Regular,0.157718931,Breakfast,168.3474,OUT017,2007,Medium,Tier 2,Supermarket Type1,4548.0798,18
Food,17.6,Low Fat,0.008046275,Dairy,173.7422,OUT017,2007,Medium,Tier 2,Supermarket Type1,5863.0348,18
Non-Consumable,12.857645184136183,Non-Counsumable,0.068753558,Household,127.9678,OUT019,1985,Small,Tier 1,Grocery Store,254.3356,40
Food,12.857645184136183,Low Fat,0.013199737,Canned,108.9254,OUT027,1985,Medium,Tier 3,Supermarket Type3,2713.135,40
Food,10.65,Low Fat,0.023971463,Fruits and Vegetables,54.0272,OUT046,1997,Small,Tier 1,Supermarket Type1,447.4176,28
Food,18.35,Regular,0.09468096,Fruits and Vegetables,86.2882,OUT018,2009,Medium,Tier 3,Supermarket Type2,1631.8758,16
Food,7.35,Regular,0.014394261,Fruits and Vegetables,241.3512,OUT045,2002,Medium,Tier 2,Supermarket Type1,5331.7264,23
Food,18.2,Low Fat,0.049396364,Fruits and Vegetables,146.4734,OUT049,1999,Medium,Tier 1,Supermarket Type1,3563.3616,26
Food,8.39,Regular,0.024243294,Frozen Foods,116.0176,OUT049,1999,Medium,Tier 1,Supermarket Type1,1603.2464,26
Food,14.3,Low Fat,0.122469209,Dairy,121.973,OUT013,1987,High,Tier 3,Supermarket Type1,2709.806,38
Food,10.195,Regular,0.017730951,Starchy Foods,239.8538,OUT017,2007,Medium,Tier 2,Supermarket Type1,4086.0146,18
Food,14.15,Low Fat,0.035016754,Snack Foods,245.3828,OUT018,2009,Medium,Tier 3,Supermarket Type2,1705.7796,16
Drinks,16.2,Low Fat,0.019417732,Soft Drinks,153.7972,OUT045,2002,Medium,Tier 2,Supermarket Type1,1402.1748,23
Non-Consumable,12.857645184136183,Non-Counsumable,0.066358426,Household,195.2478,OUT027,1985,Medium,Tier 3,Supermarket Type3,7168.6686,40
Drinks,12.65,Low Fat,0.105265475,Soft Drinks,159.9578,OUT010,1998,Medium,Tier 3,Grocery Store,962.7468,27
Drinks,12.857645184136183,Low Fat,0.038736754,Soft Drinks,37.319,OUT027,1985,Medium,Tier 3,Supermarket Type3,1281.665,40
Food,10.895,Low Fat,0.044991876,Frozen Foods,107.228,OUT010,1998,Medium,Tier 3,Grocery Store,426.112,27
Food,5.735,Low Fat,0.05696122,Fruits and Vegetables,176.337,OUT046,1997,Small,Tier 1,Supermarket Type1,1764.37,28
Food,17.85,Low Fat,0.147255604,Breads,93.7436,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848,18
Food,5.82,Regular,0.077319079,Fruits and Vegetables,255.433,OUT046,1997,Small,Tier 1,Supermarket Type1,4357.661,28
Non-Consumable,10.0,Non-Counsumable,0.089135671,Health and Hygiene,146.9102,OUT035,2004,Small,Tier 2,Supermarket Type1,3207.8244,21
Food,17.6,Regular,0.041373331,Snack Foods,38.119,OUT035,2004,Small,Tier 2,Supermarket Type1,732.38,21
Drinks,12.857645184136183,Low Fat,0.04403602,Hard Drinks,173.308,OUT027,1985,Medium,Tier 3,Supermarket Type3,6751.212,40
Food,10.1,Low Fat,0.027041859,Meat,77.567,OUT013,1987,High,Tier 3,Supermarket Type1,306.268,38
Food,12.857645184136183,Regular,0.056782237,Fruits and Vegetables,241.2512,OUT027,1985,Medium,Tier 3,Supermarket Type3,8239.9408,40
Food,17.6,Regular,0.03922186,Snack Foods,97.241,OUT046,1997,Small,Tier 1,Supermarket Type1,193.082,28
Food,8.645,Low Fat,0.021581922,Canned,53.3982,OUT035,2004,Small,Tier 2,Supermarket Type1,1209.7586,21
Food,19.5,Low Fat,0.128206001,Breads,155.9314,OUT046,1997,Small,Tier 1,Supermarket Type1,3878.285,28
Food,7.68,Low Fat,0.071301323,Fruits and Vegetables,190.8162,OUT017,2007,Medium,Tier 2,Supermarket Type1,2693.8268,18
Drinks,15.7,Low Fat,0.030765898,Hard Drinks,43.277,OUT045,2002,Medium,Tier 2,Supermarket Type1,649.155,23
Food,5.405,Regular,0.053730029,Canned,199.0742,OUT045,2002,Medium,Tier 2,Supermarket Type1,4777.7808,23
Food,20.85,Regular,0.062350672,Baking Goods,86.9514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1416.8224,23
Non-Consumable,7.39,Non-Counsumable,0.068163102,Health and Hygiene,140.4812,OUT017,2007,Medium,Tier 2,Supermarket Type1,2422.1804,18
Food,6.465,Low Fat,0.057792343,Canned,263.1884,OUT018,2009,Medium,Tier 3,Supermarket Type2,2914.8724,16
Food,18.25,Low Fat,0.015309885,Snack Foods,197.6084,OUT045,2002,Medium,Tier 2,Supermarket Type1,2380.9008,23
Food,12.857645184136183,Regular,0.106538757,Dairy,222.3772,OUT027,1985,Medium,Tier 3,Supermarket Type3,1556.6404,40
Food,12.857645184136183,Low Fat,0.061999648,Baking Goods,230.001,OUT019,1985,Small,Tier 1,Grocery Store,689.103,40
Food,10.195,Low Fat,0.051618281,Breads,31.9558,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,38
Food,15.1,Low Fat,0.076505799,Baking Goods,91.583,OUT017,2007,Medium,Tier 2,Supermarket Type1,539.298,18
Food,13.65,Regular,0.013091186,Fruits and Vegetables,114.8834,OUT018,2009,Medium,Tier 3,Supermarket Type2,1612.5676,16
Food,12.857645184136183,Low Fat,0.022074764,Snack Foods,141.418,OUT019,1985,Small,Tier 1,Grocery Store,559.272,40
Food,12.857645184136183,Low Fat,0.079146113,Frozen Foods,181.466,OUT019,1985,Small,Tier 1,Grocery Store,179.766,40
Food,5.985,Low Fat,0.096337184,Frozen Foods,125.2678,OUT017,2007,Medium,Tier 2,Supermarket Type1,763.0068,18
Drinks,9.5,Low Fat,0.142425145,Hard Drinks,189.9872,OUT010,1998,Medium,Tier 3,Grocery Store,756.3488,27
Food,11.15,Low Fat,0.057792343,Dairy,44.7744,OUT045,2002,Medium,Tier 2,Supermarket Type1,181.0976,23
Non-Consumable,12.857645184136183,Non-Counsumable,0.041663111,Health and Hygiene,188.6214,OUT027,1985,Medium,Tier 3,Supermarket Type3,6029.4848,40
Non-Consumable,18.0,Non-Counsumable,0.019386234,Health and Hygiene,126.8994,OUT046,1997,Small,Tier 1,Supermarket Type1,3083.9856,28
Non-Consumable,12.857645184136183,Non-Counsumable,0.135226962,Health and Hygiene,56.293,OUT019,1985,Small,Tier 1,Grocery Store,113.186,40
Drinks,16.2,Low Fat,0.057792343,Soft Drinks,73.4696,OUT013,1987,High,Tier 3,Supermarket Type1,2087.9488,38
Food,13.15,Low Fat,0.036729122,Frozen Foods,179.7976,OUT049,1999,Medium,Tier 1,Supermarket Type1,2535.3664,26
Non-Consumable,20.6,Non-Counsumable,0.045380404,Health and Hygiene,148.4392,OUT013,1987,High,Tier 3,Supermarket Type1,1789.6704,38
Food,11.395,Regular,0.069587171,Meat,234.6616,OUT046,1997,Small,Tier 1,Supermarket Type1,4687.232,28
Food,6.78,Regular,0.08573655,Fruits and Vegetables,229.5694,OUT013,1987,High,Tier 3,Supermarket Type1,3425.541,38
Food,8.84,Regular,0.076681143,Frozen Foods,110.7228,OUT049,1999,Medium,Tier 1,Supermarket Type1,1657.842,26
Food,16.7,Low Fat,0.102055777,Canned,184.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,3101.2964,28
Food,13.3,Regular,0.071856726,Fruits and Vegetables,63.2536,OUT017,2007,Medium,Tier 2,Supermarket Type1,1347.5792,18
Food,12.6,Regular,0.063054947,Frozen Foods,102.399,OUT017,2007,Medium,Tier 2,Supermarket Type1,2270.378,18
Food,7.6,Regular,0.142383847,Starchy Foods,172.3448,OUT035,2004,Small,Tier 2,Supermarket Type1,2556.672,21
Food,12.6,Regular,0.03150851,Baking Goods,170.5764,OUT013,1987,High,Tier 3,Supermarket Type1,3779.0808,38
Food,6.67,Regular,0.123620492,Snack Foods,90.0514,OUT049,1999,Medium,Tier 1,Supermarket Type1,1505.3738,26
Non-Consumable,10.695,Non-Counsumable,0.06375108,Household,36.7848,OUT035,2004,Small,Tier 2,Supermarket Type1,782.9808,21
Food,12.857645184136183,Low Fat,0.04461205,Dairy,241.1538,OUT019,1985,Small,Tier 1,Grocery Store,480.7076,40
Food,16.6,Low Fat,0.122204371,Fruits and Vegetables,173.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,1911.5118,21
Food,10.0,Regular,0.037764307,Snack Foods,127.2994,OUT046,1997,Small,Tier 1,Supermarket Type1,642.497,28
Non-Consumable,19.1,Non-Counsumable,0.092437711,Others,185.2608,OUT017,2007,Medium,Tier 2,Supermarket Type1,1470.0864,18
Non-Consumable,17.6,Non-Counsumable,0.137807013,Health and Hygiene,161.792,OUT010,1998,Medium,Tier 3,Grocery Store,159.792,27
Drinks,19.5,Regular,0.077292302,Soft Drinks,235.3958,OUT049,1999,Medium,Tier 1,Supermarket Type1,6309.7866,26
Food,10.1,Regular,0.045763062,Snack Foods,38.4848,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.8416,26
Non-Consumable,8.6,Non-Counsumable,0.090558833,Household,112.6176,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.9752,16
Food,19.7,Low Fat,0.041703666,Frozen Foods,109.1912,OUT013,1987,High,Tier 3,Supermarket Type1,1637.868,38
Food,15.35,Low Fat,0.014098693,Frozen Foods,37.219,OUT017,2007,Medium,Tier 2,Supermarket Type1,805.618,18
Food,5.26,Regular,0.042008667,Baking Goods,162.6868,OUT017,2007,Medium,Tier 2,Supermarket Type1,3767.0964,18
Food,9.8,Low Fat,0.106933748,Fruits and Vegetables,175.337,OUT045,2002,Medium,Tier 2,Supermarket Type1,529.311,23
Non-Consumable,16.5,Non-Counsumable,0.012663476,Health and Hygiene,39.3506,OUT045,2002,Medium,Tier 2,Supermarket Type1,645.1602,23
Food,10.5,Low Fat,0.041387618,Fruits and Vegetables,40.1164,OUT035,2004,Small,Tier 2,Supermarket Type1,849.5608,21
Non-Consumable,13.1,Non-Counsumable,0.012148836,Others,191.353,OUT018,2009,Medium,Tier 3,Supermarket Type2,1328.271,16
Food,12.857645184136183,Regular,0.005935001,Snack Foods,98.8358,OUT027,1985,Medium,Tier 3,Supermarket Type3,2010.716,40
Food,9.3,Regular,0.014047825,Snack Foods,196.5084,OUT045,2002,Medium,Tier 2,Supermarket Type1,4364.9848,23
